titulo,ano,duracao,genero,orcamento,receita,nota,votos
Filme 1,2020,120,Ação,100,300,7.5,1500
Filme 2,2019,150,Drama,150,180,6.8,2000
Filme 3,2021,95,Comédia,50,70,7.2,500
Filme 4,2018,180,Ação,200,400,5.5,4000
Filme 5,2022,130,Drama,120,250,8.0,2500
Filme 6,2020,120,Ação,100,300,7.5,1500
Filme 7,2019,150,Drama,150,180,6.8,2000
Filme 8,2021,95,Comédia,50,70,7.2,500
Filme 9,2018,180,Ação,200,400,5.5,4000
Filme 10,2022,130,Drama,120,250,8.0,2500
Filme 11,2020,120,Ação,100,300,7.5,1500
Filme 12,2019,150,Drama,150,180,6.8,2000
Filme 13,2021,95,Comédia,50,70,7.2,500
Filme 14,2018,180,Ação,200,400,5.5,4000
Filme 15,2022,130,Drama,120,250,8.0,2500
Filme 16,2020,120,Ação,100,300,7.5,1500
Filme 17,2019,150,Drama,150,180,6.8,2000
Filme 18,2021,95,Comédia,50,70,7.2,500
Filme 19,2018,180,Ação,200,400,5.5,4000
Filme 20,2022,130,Drama,120,250,8.0,2500
Filme 21,2020,120,Ação,100,300,7.5,1500
Filme 22,2019,150,Drama,150,180,6.8,2000
Filme 23,2021,95,Comédia,50,70,7.2,500
Filme 24,2018,180,Ação,200,400,5.5,4000
Filme 25,2022,130,Drama,120,250,8.0,2500
Filme 26,2020,120,Ação,100,300,7.5,1500
Filme 27,2019,150,Drama,150,180,6.8,2000
Filme 28,2021,95,Comédia,50,70,7.2,500
Filme 29,2018,180,Ação,200,400,5.5,4000
Filme 30,2022,130,Drama,120,250,8.0,2500
Filme 31,2020,120,Ação,100,300,7.5,1500
Filme 32,2019,150,Drama,150,180,6.8,2000
Filme 33,2021,95,Comédia,50,70,7.2,500
Filme 34,2018,180,Ação,200,400,5.5,4000
Filme 35,2022,130,Drama,120,250,8.0,2500
Filme 36,2020,120,Ação,100,300,7.5,1500
Filme 37,2019,150,Drama,150,180,6.8,2000
Filme 38,2021,95,Comédia,50,70,7.2,500
Filme 39,2018,180,Ação,200,400,5.5,4000
Filme 40,2022,130,Drama,120,250,8.0,2500
Filme 41,2020,120,Ação,100,300,7.5,1500
Filme 42,2019,150,Drama,150,180,6.8,2000
Filme 43,2021,95,Comédia,50,70,7.2,500
Filme 44,2018,180,Ação,200,400,5.5,4000
Filme 45,2022,130,Drama,120,250,8.0,2500
Filme 46,2020,120,Ação,100,300,7.5,1500
Filme 47,2019,150,Drama,150,180,6.8,2000
Filme 48,2021,95,Comédia,50,70,7.2,500
Filme 49,2018,180,Ação,200,400,5.5,4000
Filme 50,2022,130,Drama,120,250,8.0,2500
